Header,Section
"Investors see a biotech comeback in 2024 as rates fall, deal-making picks up. Stocks to watch",Health_and_Science
Medicare drug price negotiations will face major tests in 2024,Health_and_Science
"AI, wearables and more — these markets are booming as the world ages",Health_and_Science
Obesity and Alzheimer’s drugs pack one-two punch to power Eli Lilly higher in 2024,Health_and_Science
Oprah’s flip on weight loss drugs is a sign of what’s to come for the ‘Ozempic trade’ in 2024,Health_and_Science
Karuna Therapeutics surges 47% after Bristol Myers Squibb announces $14B deal,Health_and_Science
Here are the big health sector themes to watch next year,Health_and_Science
Asia’s year in review: Who had it good — and who had it bad — in 2023,Health_and_Science
CDC director says U.S. isn’t yet near peak Covid or flu levels for the season,Health_and_Science
"Singapore’s latest Covid spike may be peaking, but keep vaccinating: Health minister",Health_and_Science
Weight loss drugs and Alzheimer’s treatments: Huge firsts defined 2023 in pharma,Health_and_Science
"SEC charges ex-CEO of medical device company with fraud, says some devices fake",Health_and_Science
"Our update on all 33 stocks in the portfolio, including those we’d buy on dips",Health_and_Science
The weight loss drug boom isn’t over yet — here’s what to expect next year,Health_and_Science
Prescriptions for Lilly’s weight-loss drug confirm its bright outlook,Health_and_Science
"Coca-Cola recalled 2,000 cases of drinks due to potential contamination",Health_and_Science
"Moderna, Merck cancer vaccine reduces risk of skin cancer returning",Health_and_Science
The next Ozempic? Where M&A could be heading in the obesity drug space,Health_and_Science
Vertex shares pop after nonopioid painkiller posts positive trial results,Health_and_Science
Supreme Court agrees to hear showdown over abortion pill access,Health_and_Science
How doctors are using Google’s new AI models for health care,Health_and_Science
"Weight gain after stopping Lilly’s obesity treatment should help, not hurt shares",Health_and_Science
Weight loss from Eli Lilly’s Zepbound reverses after patients stop drug,Health_and_Science
Flying solo without Cigna will keep Humana focused on 2 big priorities in 2024,Health_and_Science
"Cigna shares jump on abandoned Humana buyout, plans for $10 billion buyback",Health_and_Science
Criminals make millions by counterfeiting drugs – here’s how Big Pharma fights it,Health_and_Science
"U.S. approves first gene-editing treatment, Casgevy, for sickle cell disease",Health_and_Science
U.S. poised to approve first gene-editing treatment,Health_and_Science
Biden administration asserts power to seize drug patents in move to slash prices,Health_and_Science
Biden administration delays ban on menthol cigarettes until 2024,Health_and_Science
