Header,Section
Prosecutors say they will not pursue second Sam Bankman-Fried trial,Technology
Tech stocks just wrapped up one of best years in past two decades after 2022 slump,Technology
"As we travel new AI world in 2024, it’s same old data privacy tradeoff for users",Technology
Apple underperformed top tech peers in 2023 due to longest revenue slide in 22 years,Technology
Nvidia to launch slower gaming chip in China to comply with U.S. export controls,Technology
Startup bubble fueled by Fed’s cheap money policy finally burst in 2023,Technology
"Affirm soared over 400% this year on buy now, pay later boom, beating its peers",Technology
16 stats that show branded content works,Technology
Ether rallies 6% in catch-up trade as investors position for January,Technology
Apple will sell latest Apple Watch models again after import ban temporarily stopped,Technology
"Generative AI big year meant profit for Nvidia, experiments elsewhere",Technology
"New York Times sues Microsoft, ChatGPT maker OpenAI over copyright infringement",Technology
Bitcoin’s 2023 rally drove some of the stock market’s biggest gains this year,Technology
"AI integration, device upgrades to drive a rebound in PC sales in 2024",Technology
Here are 3 stocks — other than Nvidia — getting an AI premium from Wall Street,Technology
MicroStrategy’s bitcoin bet produces over 300% gain for investors in 2023,Technology
The first minds to be controlled by generative AI will live inside video games,Technology
Apple executives Johny Srouji and John Ternus on its growing chip business,Technology
Tencent loses over $43 billion in market value after China proposes new online gaming rules,Technology
Apple has stopped selling some Apple Watches on its website over patent dispute,Technology
OpenAI rival Anthropic in talks to raise $750 million led by Menlo Ventures,Technology
"Coinbase secures crypto license in France, pushing deeper in Europe amid rift with the SEC",Technology
Electric scooter company Bird files for bankruptcy,Technology
Apple fails in bid to delay Apple Watch sales ban,Technology
Tesla blamed drivers for failures of parts it long knew were defective,Technology
Apple resolves outage affecting its payment features,Technology
"AI cannot be named as an ‘inventor,’ top UK court says in patent dispute",Technology
Venture capital firms expect fundraising in Southeast Asia to pick up in 2024,Technology
"SEC charges ex-CEO of medical device company with fraud, says some devices fake",Technology
Rite Aid to be barred from using facial recognition in proposed FTC settlement,Technology
"Tesla drivers had highest accident rate, BMW drivers highest DUI rate: study",Technology
Alphabet to limit election queries Bard and AI-based search can answer,Technology
An abused wife took on Tesla over tracking tech. She lost.,Technology
Affirm stock pops more than 15% on expanded Walmart partnership,Technology
VR market keeps shrinking as Meta pours billions into the metaverse,Technology
"GPT and other AI models can’t analyze an SEC filing, researchers find",Technology
Tesla to raise pay for hourly Nevada Gigafactory workers in January — could stave off union interest,Technology
"Google to pay $700 million to U.S. consumers, states in Play store settlement",Technology
FTX resolves dispute with Bahamian liquidators,Technology
"TSMC Chairman Mark Liu to retire in 2024, CEO recommended as successor",Technology
"Meta’s stock is wrapping up a record year, spurred by cost cuts that followed a disastrous 2022",Technology
Apple makes surprise decision to pause some Watch sales before Christmas over patent dispute,Technology
Adobe and Figma call off $20 billion acquisition after regulatory scrutiny,Technology
Illumina to divest cancer test maker Grail after antitrust battles,Technology
Musk’s X hit with first EU probe under new disinformation rules,Technology
SoftBank-backed metaverse firm Improbable sells a key gaming venture for $97 million,Technology
Shares of Chinese AI giant SenseTime plunge to an all-time low after founder’s death,Technology
The techno-optimists and doomsdayers inside Silicon Valley’s most dangerous AI debate,Technology
Activision Blizzard agrees to settle California case alleging discrimination against women,Technology
DocuSign shares spike on report company is exploring a sale,Technology
Fake TikTok accounts spread Russian war propaganda to millions,Technology
"LinkedIn shelved planned move to Microsoft Azure, opting to keep physical data centers",Technology
Amazon courts sellers at China summit as Temu and Shein gain momentum,Technology
Four men indicted in $80 million ‘pig butchering’ scheme,Technology
Intel unveils new AI chip to compete with Nvidia and AMD,Technology
"GM’s Cruise laying off 900 employees, or 24% of its workforce: Read the memo here",Technology
"CrowdStrike CEO George Kurtz on China, Microsoft and the SEC",Technology
Putin quizzed by apparent AI version of himself during live phone-in,Technology
Zuckerberg says Threads will dip its toe in the ‘fediverse’ as it opens to Europe,Technology
Amazon wins $270 million tax fight with the EU,Technology
Musk’s X hit with complaint alleging platform broke Europe’s strict privacy laws,Technology
"ChatGPT back online after ‘major outage,’ OpenAI says",Technology
"Temu files fresh lawsuit against Shein, accusing its rival of ‘mafia-style intimidation’",Technology
GM’s Cruise robotaxi unit dismisses nine ‘key leaders’ amid safety investigation,Technology
Adobe shares slide on weaker-than-expected forecast for 2024,Technology
How to stop Dropbox from sharing your personal files with OpenAI,Technology
OpenAI and Axel Springer strike unprecedented deal to offer news in ChatGPT,Technology
Twilio hired Qatalyst to advise on defense against activist investor group,Technology
Google is rolling out new AI models for health care. Here’s how doctors are using them,Technology
Tesla tweaks autopilot software after regulators recall more than 2 million cars,Technology
Why Tesla’s Cybertruck is so hard to mass produce,Technology
"$4.7 billion European fintech firm Pleo appoints new CFO, pointing to IPO hopes",Technology
Samsung and ASML to invest $760 million to build an advanced chip plant in South Korea,Technology
Google’s loss to Epic will likely have little impact in the near term,Technology
Apple introduces new iPhone security mode to protect against stolen passcodes,Technology
Epic Games CEO Tim Sweeney on why the company did better against Google than Apple in court,Technology
"Valued at $86 billion, OpenAI’s latest revenue filing shows how its financials are a mystery",Technology
Oracle shares fall more than 12% on light cloud revenue,Technology
"Amazon drone delivery executive who oversaw safety, FAA relations departs the company",Technology
Epic Games wins antitrust lawsuit against Google over barriers to its Android app store,Technology
"Op-ed: After crisis, Israel’s economy always comes back stronger",Technology
"TikTok and GoTo team up in Indonesia, threatening Southeast Asia’s e-commerce giant",Technology
Oracle shares slide as revenue misses estimates,Technology
More than 15% of teens say they’re on YouTube or TikTok ‘almost constantly’,Technology
Apple releases new Journal app as part of its latest iPhone update. Here’s what it’s like,Technology
Broadcom stock spikes to new yearlong high,Technology
Microsoft partners with labor groups to quell concerns about AI taking jobs,Technology
"Bitcoin slides 7% to under $41,000 in volatile trading following early December rally",Technology
Snap stock trading at highest price in over a year on Wells Fargo upgrade,Technology
Apple reportedly plans big overhaul to iPad family to make it less confusing,Technology
Elon Musk reactivates Alex Jones’ X account after a five-year ban,Technology
Japanese tech giant Rakuten plans to launch proprietary AI model,Technology
"SumUp, a rival to Jack Dorsey’s Block, defies fintech funding slump with $307 million cash injection",Technology
Meta’s Ray-Ban smart glasses look cool and work well if you want a camera on your face,Technology
"Google weighs Gemini AI project to tell people their life story using phone data, photos",Technology
EU agrees to landmark AI rules as governments aim to regulate products like ChatGPT,Technology
Google faces controversy over edited Gemini AI demo video,Technology
DJ duo The Chainsmokers want to use AI to clone their own voices,Technology
Rakuten makes first mobile foray into Europe as Japanese tech giant grapples with debt overhang,Technology
A 75-year-old Indian-American tech entrepreneur betting $1 billion of his own fortune on AI’s future,Technology
Microsoft’s investment in OpenAI faces initial review from UK competition regulator,Technology
"In a first for Singapore, livestreaming app 17LIVE goes public via SPAC merger",Technology
"Elon Musk considers reinstating Alex Jones’s X account, backtracking on prior decision",Technology
Elon Musk asks Supreme Court to undo ‘Twitter sitter’ agreement with SEC,Technology
AMD stock spikes after company launches AI chip to rival Nvidia,Technology
Google shares pop 5% after company announces Gemini AI model,Technology
PayPal shares slide after Amazon drops Venmo as payment option,Technology
Amazon tests grocery subscription service for Prime members,Technology
"Crown Castle CEO to retire, handing win to activist investor Elliott",Technology
Nominate a company for CNBC’s 2024 Disruptor 50 list,Technology
"IBM was early to AI, then lost its way. CEO Arvind Krishna explains what’s next",Technology
Robinhood launches crypto trading service in the EU,Technology
Meta to expand encryption on Messenger making it similar to WhatsApp,Technology
Microsoft’s president meets with the Chinese government to discuss AI co-operation,Technology
Meta and Microsoft say they will buy AMD’s new AI chip as an alternative to Nvidia’s,Technology
"Google launches its largest and ‘most capable’ AI model, Gemini",Technology
"Jamie Dimon lashes out against crypto: ‘If I was the government, I’d close it down’",Technology
"Governments are spying on Apple and Google users through phone notifications, U.S. senator says",Technology
‘You can’t just make your own rules’: Tesla faces Scandi revolt as Danes join Swedish strike,Technology
A ‘thirsty’ generative AI boom poses a growing problem for Big Tech,Technology
TikTok parent ByteDance offers share buyback valuing the Chinese giant at $268 billion,Technology
Ex-OpenAI director Reid Hoffman says we still don’t ‘fully know’ why board forced out Altman,Technology
Apple’s market cap closes above $3 trillion,Technology
Elon Musk’s AI startup — X.AI — files to raise $1 billion in fresh capital,Technology
Waymo is full speed ahead as safety incidents and regulators stymie competitor Cruise,Technology
"Bitcoin tops $44,000 for the first time since April 2022 as ETF optimism grows",Technology
Airbnb CFO Dave Stephenson moves to new role as company reaches ‘inflection point’,Technology
California YouTuber sentenced to prison after intentionally crashing plane,Technology
Reproductive startup launches test to identify embryo’s genetic defects before IVF pregnancy begins,Technology
China’s EV carmaker Nio jumps 4% after reporting narrower-than-expected losses,Technology
Rockstar Games publishes Grand Theft Auto VI trailer early after it was leaked on X,Technology
"How to send a digital gift card on Amazon, Venmo or Cash App",Technology
"Free ChatGPT may incorrectly answer drug questions, study says",Technology
Uber shares pop as company is slated to join S&P 500,Technology
Twilio lays off 5% of employees in unit activists want to divest,Technology
Spotify jumps after saying it will cut 17% of workforce — read the full memo from CEO Daniel Ek,Technology
"OpenAI COO Brad Lightcap talks about ChatGPT launch, DevDay and how Sam Altman thinks",Technology
"Crypto execs say the bull run is underway and could lead to $100,000 bitcoin in 2024",Technology
Meta’s AI chief doesn’t think AI super intelligence is coming anytime soon,Technology
How $100 billion mining giant Rio Tinto is poised to benefit from the EV boom,Technology
"Amazon broke labor law by calling Staten Island union organizers ‘thugs,’ interrogating workers",Technology
Uber shares pop on inclusion in S&P 500,Technology
"Inside Apple’s chip lab, home to the most ‘profound change’ at the company in decades",Technology
"Robinhood CEO defends payment for order flow, says practice is ‘here to stay’",Technology
"Federal judge blocks Montana’s TikTok ban, which would have been the first of its kind",Technology
Read Linda Yaccarino’s message to X employees about Elon Musk’s controversial DealBook interview,Technology
"UiPath stock spikes more than 26% after earnings beat, generative AI integration",Technology
Elon Musk hypes Tesla Cybertruck at deliveries event in Austin,Technology
One tiny country drove 15% of Nvidia’s revenue – here’s why it needs so many chips,Technology
"OpenAI tender offer is on track for January despite leadership fracas, sources say",Technology
Coinbase rallies more than 60% in same month that FTX and Binance founders brace for prison,Technology
Nashville’s startup scene is booming as health-tech investors and founders flock to the Music City,Technology
X CEO Linda Yaccarino addresses Musk’s ‘go f--- yourself’ comment to advertisers,Technology
Google could delete your old Gmail account as soon as Friday,Technology
Meta’s latest threats report shows risk of Chinese influence campaigns ahead of elections,Technology
Microsoft secures nonvoting board seat at OpenAI,Technology
"Zepz, a $5 billion fintech unicorn, is laying off more staff",Technology
