Header,Section
"From FedEx to airlines, companies are starting to lose their pricing power",Automobile
CNBC Daily Open: Will the S&P end 2023 on a record high?,Automobile
"CNBC Daily Open: For the S&P, the last mile’s the longest",Automobile
"Why the $7,500 EV tax credit may be easier — and harder — to get in 2024",Automobile
"China’s Xiaomi unveils its first EV as it looks to compete with Porsche, Tesla",Automobile
Cars are losing their value at a slower rate,Automobile
"Tesla recalls 120,000 vehicles over potentially faulty doors that could open in a crash",Automobile
Honda recalling more than 2.5 million vehicles over potential fuel pump issue,Automobile
New car sales are expected to rise slightly next year in the U.S.,Automobile
"Will 2024 be a good time to buy a car? Here’s what to expect, auto experts say",Automobile
How Tesla rose to retail investor stardom: ‘It’s always in people’s minds’,Automobile
Tesla hiring Nordic policy expert as ‘WWE-like standoff’ with unions intensifies,Automobile
"Tesla drivers had highest accident rate, BMW drivers highest DUI rate: study",Automobile
GM has cut its Buick dealership network in half through buyouts,Automobile
Tesla to raise pay for hourly Nevada Gigafactory workers in January,Automobile
Nikola founder Trevor Milton sentenced to four years in prison for fraud,Automobile
Cruise in danger of becoming GM’s latest trendy venture that doesn’t pay off,Automobile
"GM to lay off 1,300 Michigan workers as vehicles end production",Automobile
"GM’s Cruise laying off 900, or 24% of its workforce: Read the memo here",Automobile
Cadillac reveals three-row Vistiq to round out electric SUV lineup,Automobile
Top EVs are losing tax credits as U.S. boots China from supply chain,Automobile
GM’s Cruise autonomous vehicle unit dismisses nine leaders amid safety probe,Automobile
Why Ford should double down on hybrids as it backs off EVs,Automobile
Ford cuts planned 2024 production of electric F-150 Lightning in half,Automobile
"UAW files unfair labor practice charges against Hyundai, Honda, Volkswagen",Automobile
"China’s livestream shopping is booming, fueling new tech such as avatars and AI",Automobile
Why automakers are turning to hybrids in the middle of the EV transition,Automobile
"Musk’s woes deepen as Tesla loses Swedish case, Finnish union joins blockade",Automobile
Why the U.S. has a serious mining worker shortage,Automobile
Why experts say falling EV prices could actually hinder widespread adoption,Automobile
"Ferrari’s $400,000 Purosangue is a dream to drive. Just don’t call it an SUV",Automobile
Jim Cramer gets answers from the CEOs of Amazon and Ford. Here’s where he stands,Automobile
‘You can’t just make your own rules’: Tesla faces Scandi revolt as Danes join Swedish strike,Automobile
Waymo is full speed ahead as safety incidents and regulators stymie Cruise,Automobile
"Stellantis resurrects small Fiat 500e EV for the U.S., starting at $34,095",Automobile
China’s EV carmaker Nio jumps 4% after reporting narrower-than-expected losses,Automobile
Ford’s strong hybrid sales show the company needs to pivot to increase profits,Automobile
Jim Cramer’s top 10 things to watch in the stock market Monday,Automobile
How $100 billion mining giant Rio Tinto is poised to benefit from the EV boom,Automobile
Elon Musk hypes Tesla Cybertruck at deliveries event in Austin,Automobile
"Ford reinstates 2023 guidance, says UAW deal to cost $8.8 billion over life of the contract",Automobile
"UAW launches union campaigns at Tesla, 12 other automakers in the U.S.",Automobile
GM says union labor deals will increase costs by $9.3 billion,Automobile
"GM initiates $10 billion buyback, boosts dividend and reinstates 2023 guidance after UAW strikes",Automobile
"Huawei is pushing its tech into the EV world with new cars, automaker partnerships",Automobile
"2023 was the auto industry’s year of EV investment, but consumers still prefer hybrids",Automobile
How a specialty vehicle manufacturer is electrifying firetrucks,Automobile
Forget Tesla. Portfolio manager names another way — and stock — to play the EV market,Automobile
You can now lease a Rivian R1T electric pickup in select markets,Automobile
Was your car recalled? Here’s how to make sure your car is fit for long-distance travel,Automobile
"Ford to scale back plans for $3.5 billion battery plant as EV demand disappoints, labor costs rise",Automobile
"Analysts love these EV-related stocks, giving 2 of them more than 100% upside",Automobile
Cruise CEO Kyle Vogt resigns from GM-owned robotaxi unit,Automobile
"Ford union workers ratify UAW deal, closing out historic negotiations with Detroit automakers",Automobile
"Cadillac reveals its new entry-level EV, a compact crossover called the Optiq",Automobile
UAW members ratify new contract with Chrysler owner Stellantis,Automobile
Rolls-Royce shares at one-year high despite ‘defective’ engine jibes from Emirates boss,Automobile
Volvo shares tumble to record low as Chinese owner Geely sells off stock,Automobile
CNBC Daily Open: Investors realize they’ve been too optimistic,Automobile
China’s transition to EVs is so fast that Volkswagen is on track for its worst local sales in years,Automobile
"Amazon will allow auto dealers to sell cars on its site, starting with Hyundai",Automobile
"Elon Musk boosts antisemitic tweet, claims ADL and other groups push ‘anti-white’ messaging",Automobile
GM union workers ratify UAW deal following contentious vote,Automobile
GM-UAW deal back on track for ratification after major plant approves pact,Automobile
Here’s why the UAW’s record deals with automakers aren’t getting full support from members,Automobile
Donating a used car can be a charitable gift — but it probably won’t benefit your taxes,Automobile
Fisker shares sink 18% after EV maker discloses ‘material weaknesses’ in financial reporting,Automobile
"Fisker reports wider-than-expected losses, underwhelming deliveries for the third quarter",Automobile
